x_left,y_right,distance(last_toe_to_current_heel),last_x_left,last_x_right,y_bottom,last_y_bottom,frame,last_frame
949,959,1,960,960,375,0,57,0
950,959,10,949,959,376,375,58,57
950,959,9,950,959,375,376,59,58
950,959,9,950,959,375,375,60,59
943,951,1,950,959,371,375,61,60
733,743,200,943,951,365,371,69,61
735,745,12,733,743,374,365,70,69
733,744,9,735,745,374,374,71,70
730,741,8,733,744,369,374,72,71
723,731,1,730,741,366,369,73,72
590,607,116,723,731,373,366,76,73
590,609,19,590,607,375,373,77,76
590,609,19,590,609,374,375,78,77
590,605,15,590,609,374,374,79,78
586,594,4,590,605,372,374,80,79
450,457,129,586,594,363,372,83,80
443,451,1,450,457,369,363,84,83
442,452,9,443,451,373,369,85,84
438,451,9,442,452,372,373,86,85
437,448,10,438,451,369,372,87,86
432,438,1,437,448,364,369,88,87
318,335,97,432,438,362,364,89,88
299,316,2,318,335,365,362,90,89
290,311,12,299,316,372,365,91,90
290,310,20,290,311,373,372,92,91
290,309,19,290,310,372,373,93,92
290,306,16,290,309,372,372,94,93
63,75,215,290,306,368,372,105,94
64,75,12,63,75,367,368,106,105
