x_left,y_right,distance(last_toe_to_current_heel),last_x_left,last_x_right,y_bottom,last_y_bottom,frame,last_frame
920,926,34,960,960,365,0,108,0
719,730,190,920,926,368,365,116,108
721,732,13,719,730,372,368,117,116
717,730,9,721,732,368,372,118,117
711,723,6,717,730,367,368,119,118
703,709,2,711,723,363,367,120,119
582,595,108,703,709,361,363,122,120
578,595,13,582,595,374,361,123,122
578,595,17,578,595,374,374,124,123
578,593,15,578,595,374,374,125,124
576,587,9,578,593,373,374,126,125
451,459,117,576,587,365,373,129,126
438,448,3,451,459,372,365,130,129
436,446,8,438,448,375,372,131,130
432,446,10,436,446,373,375,132,131
429,442,10,432,446,369,373,133,132
353,429,0,429,442,364,369,134,133
317,333,20,353,429,364,364,135,134
295,312,5,317,333,367,364,136,135
286,303,8,295,312,374,367,137,136
286,303,17,286,303,375,374,138,137
285,301,15,286,303,374,375,139,138
284,294,9,285,301,373,374,140,139
69,81,203,284,294,373,373,149,140
70,81,12,69,81,372,373,150,149
65,77,7,70,81,367,372,151,150
54,61,4,65,77,363,367,152,151
